transect_id,species_name,species_code,total_length,abundance
2007_1,anisotremus_virginicus,ani_vir,15,5
2007_1,anisotremus_virginicus,ani_vir,25,3
2007_1,coryphopterus_glaucofraenum,cor_gla,7,3
2007_1,haemulon_aurolineatum,hae_aur,7,115
2007_1,mycteroperca_acutirostris,myc_acu,15,1
2007_1,mycteroperca_acutirostris,myc_acu,25,1
2007_1,pomacanthus_paru,pom_par,25,3
2007_1,sparisoma_axillare,spa_axi,7,1
2007_2,abudefduf_saxatilis,abu_sax,15,1
2007_2,canthigaster_figueiredoi,can_fig,15,2
2007_2,chaetodon_striatus,cha_str,7,1
2007_2,coryphopterus_glaucofraenum,cor_gla,7,1
2007_2,hyporthodus_niveatus,hyp_niv,7,2
2007_2,haemulon_aurolineatum,hae_aur,25,1
2007_2,parablennius_marmoreus,par_mar,7,2
2007_2,sphoeroides_spengleri,sph_spe,15,2
2007_2,stegastes_fuscus,ste_fus,7,2
2007_2,stegastes_fuscus,ste_fus,12,2
2007_3,abudefduf_saxatilis,abu_sax,7,7
2007_3,abudefduf_saxatilis,abu_sax,15,9
2007_3,abudefduf_saxatilis,abu_sax,20,4
2007_3,anisotremus_virginicus,ani_vir,25,1
2007_3,diplodus_argenteus,dip_arg,15,5
2007_3,diplodus_argenteus,dip_arg,25,3
2007_3,epinephelus_marginatus,epi_mar,15,2
2007_3,haemulon_aurolineatum,hae_aur,7,110
2007_3,malacoctenus_delalandii,mal_del,7,2
2007_3,mycteroperca_acutirostris,myc_acu,15,1
2007_3,odontoscion_dentex,odo_den,15,1
2007_3,parablennius_marmoreus,par_mar,7,2
2007_3,pomacanthus_paru,pom_par,25,2
2007_3,stegastes_fuscus,ste_fus,5,1
2007_3,stegastes_fuscus,ste_fus,7,3
2007_3,stegastes_fuscus,ste_fus,12,3
2007_4,abudefduf_saxatilis,abu_sax,7,1
2007_4,abudefduf_saxatilis,abu_sax,15,2
2007_4,abudefduf_saxatilis,abu_sax,20,1
2007_4,anisotremus_surinamensis,ani_sur,15,1
2007_4,anisotremus_surinamensis,ani_sur,25,1
2007_4,anisotremus_virginicus,ani_vir,15,1
2007_4,anisotremus_virginicus,ani_vir,25,1
2007_4,bodianus_rufus,bod_ruf,25,1
2007_4,azurina_multilineata,azu_mul,7,2
2007_4,haemulon_aurolineatum,hae_aur,7,60
2007_4,haemulon_aurolineatum,hae_aur,15,4
2007_4,hypleurochilus_fissicornis,hyp_fis,5,3
2007_4,hypleurochilus_fissicornis,hyp_fis,7,3
2007_4,malacoctenus_delalandii,mal_del,7,4
2007_4,odontoscion_dentex,odo_den,15,1
2007_4,parablennius_marmoreus,par_mar,5,3
2007_4,parablennius_marmoreus,par_mar,7,1
2007_4,stegastes_fuscus,ste_fus,5,1
2007_4,stegastes_fuscus,ste_fus,7,6
2007_4,stegastes_fuscus,ste_fus,12,4
2007_5,abudefduf_saxatilis,abu_sax,7,2
2007_5,abudefduf_saxatilis,abu_sax,15,40
2007_5,anisotremus_virginicus,ani_vir,15,2
2007_5,anisotremus_virginicus,ani_vir,25,1
2007_5,bodianus_rufus,bod_ruf,15,1
2007_5,diplodus_argenteus,dip_arg,7,2
2007_5,diplodus_argenteus,dip_arg,15,7
