transect_id,province,state,location,site,thermal_category,no_take_zone,longitude,latitude,ntransect,observer,sampling_method,sampling_area_m2,day,month,year,sampling_season,depth,temperature,complexity,visibility,start_time,end_time,biotop
2007_1,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,1,diego_barneche,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,10:30,NA,interface
2007_2,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,2,diego_barneche,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,10:40,NA,interface
2007_3,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,3,diego_barneche,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,10:50,NA,slope
2007_4,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,4,diego_barneche,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,11:00,NA,slope
2007_5,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,5,diego_barneche,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,11:10,NA,slope
2007_6,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,6,diego_barneche,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,12:00,NA,interface
2007_7,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,7,diego_barneche,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,12:10,NA,interface
2007_8,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,8,diego_barneche,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,12:20,NA,interface
2007_9,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,9,diego_barneche,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,12:30,NA,slope
2007_10,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,10,diego_barneche,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,12:40,NA,slope
2007_11,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,11,diego_barneche,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,12:50,NA,slope
2007_12,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,12,marcelo_silveira,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,10:30,NA,interface
2007_13,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,13,marcelo_silveira,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,NA,NA,interface
2007_14,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,14,marcelo_silveira,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,NA,NA,slope
2007_15,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,15,marcelo_silveira,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,NA,NA,slope
2007_16,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,16,marcelo_silveira,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,NA,NA,slope
2007_17,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,17,marcelo_silveira,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,NA,NA,slope
2007_18,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,18,sergio_floeter,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,10:30,NA,interface
2007_19,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,19,sergio_floeter,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,NA,NA,interface
2007_20,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,20,sergio_floeter,scuba,40,14,december,2007,summer_2008,10,NA,3,NA,NA,NA,interface
2007_21,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,21,sergio_floeter,scuba,40,14,december,2007,summer_2008,5,NA,3,NA,NA,NA,slope
2007_22,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,22,andrea_dalben,scuba,40,14,december,2007,summer_2008,10,NA,2,NA,10:30,NA,slope
2007_23,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,23,andrea_dalben,scuba,40,14,december,2007,summer_2008,12,NA,1,NA,NA,NA,sand
2007_24,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,24,andrea_dalben,scuba,40,14,december,2007,summer_2008,6,NA,3,NA,NA,NA,slope
2007_25,swa,santa_catarina,deserta_island,west,warmer,yes,-48.332268,-27.271889,25,andrea_dalben,scuba,40,14,december,2007,summer_2008,6,NA,3,NA,NA,NA,slope
2008_1,swa,santa_catarina,arvoredo_island,saco_do_capim,warmer,no,-48.374168,-27.283483,1,diego_barneche,scuba,40,12,april,2008,summer_2008,10,NA,NA,NA,10:27,10:33,interface
2008_2,swa,santa_catarina,arvoredo_island,saco_do_capim,warmer,no,-48.374168,-27.283483,2,diego_barneche,scuba,40,12,april,2008,summer_2008,10,NA,NA,NA,10:33,10:41,interface
2008_3,swa,santa_catarina,arvoredo_island,saco_do_capim,warmer,no,-48.374168,-27.283483,3,diego_barneche,scuba,40,12,april,2008,summer_2008,10,NA,NA,NA,10:42,10:50,interface
2008_4,swa,santa_catarina,arvoredo_island,saco_do_capim,warmer,no,-48.374168,-27.283483,4,diego_barneche,scuba,40,12,april,2008,summer_2008,5,NA,NA,NA,10:52,11:00,slope
2008_5,swa,santa_catarina,arvoredo_island,saco_do_capim,warmer,no,-48.374168,-27.283483,5,diego_barneche,scuba,40,12,april,2008,summer_2008,5,NA,NA,NA,11:00,11:08,slope
