species_name,fishbase_code,species_code,a,b,family,genus,trophic_groups_1,trophic_groups_2
abudefduf_saxatilis,1119,abu_sax,0.02274279,3.142,pomacentridae,abudefduf,om,omni
acanthostracion_polygonius,4287,aca_pol,0.006457845,3.167604278,ostraciidae,acanthostracion,is,sinv
acanthostracion_quadricornis,92,aca_qua,0.006457845,3.167604278,ostraciidae,acanthostracion,im,sinv
acanthostracion_sp,4287,aca_sp,0.006457845,3.167604278,ostraciidae,acanthostracion,NA,sinv
acanthurus_bahianus,942,aca_bah,0.0191,3.08,acanthuridae,acanthurus,hd,herb_detr
acanthurus_chirurgus,943,aca_chi,0.0225,3,acanthuridae,acanthurus,hd,herb_detr
acanthurus_coeruleus,944,aca_coe,0.0286,3,acanthuridae,acanthurus,hd,macroalgivore
aluterus_monoceros,4274,alu_mon,0.0022,3,monacanthidae,aluterus,im,minv
aluterus_scriptus,4275,alu_scr,0.0022,3,monacanthidae,aluterus,is,sinv
anisotremus_surinamensis,1123,ani_sur,0.0233,3.01,haemulidae,anisotremus,im,minv
anisotremus_virginicus,1124,ani_vir,0.01483616,3.167,haemulidae,anisotremus,im,minv
apogon_pseudomaculatus,3530,apo_pse,0.004929367,3.780060935,apogonidae,apogon,im,minv
archosargus_rhomboidalis,1219,arc_rho,0.02234706,3.043787933,sparidae,archosargus,om,omni
azurina_multilineata,1121,azu_mul,0.017909534,3.290729357,pomacentridae,chromis,pk,plank
balistes_capriscus,7327,bal_cap,0.0518,2.81,balistidae,balistes,im,minv
balistes_vetula,19,bal_vet,0.0518,2.81,balistidae,balistes,im,minv
bathygobius_soporator,3837,bat_sop,0.01437486,3,gobiidae,bathygobius,im,minv
bodianus_pulchellus,1066,bod_pul,0.011849045,3.148753409,labridae,bodianus,im,minv
bodianus_rufus,1067,bod_ruf,0.01446139,3.053,labridae,bodianus,im,minv
bothus_ocellatus,4207,bot_oce,0.001989028,3.75083925,bothidae,bothus,im,minv
calamus_penna,1227,cal_pen,0.39753,2.87611,sparidae,calamus,im,minv
canthigaster_figueiredoi,61201,can_fig,0.029890644,2.978805797,tetraodontidae,canthigaster,im,minv
carangoides_bartholomaei,1913,car_bar,0.011451059,3.126162542,carangidae,carangoides,fc,mcar
caranx_crysos,1933,car_cry,0.025,3,carangidae,caranx,fc,mcar
caranx_latus,1935,car_lat,0.025,3,carangidae,caranx,fc,mcar
centropomus_parallelus,1014,cen_par,0.00794,3.04,centropomidae,centropomus,NA,mcar
centropomus_undecimalis,345,cen_und,0.00581,3.04,centropomidae,centropomus,fc,mcar
